설명: [기본조회 4] Ku 대역(10,000~13,000MHz)에 속하는 주파수 대역을 확인한다.

실행 SQL:
-- [기본조회 4] Ku 대역(10,000~13,000MHz)에 속하는 주파수 대역을 확인한다.
SELECT ntc_id, emi_rcp, freq_min, freq_max
FROM freq
WHERE freq_min >= 10000 AND freq_max <= 13000
ORDER BY freq_min;

실행 결과:
 ntc_id    emi_rcp  freq_min  freq_max
---------  -------  --------  --------
121500104  E         10950.0   11200.0
125520116  E         10950.0   10955.0
125520116  E         10950.0   11000.0
126500060  E         10950.0   10960.0
126500060  E         10960.0   11000.0
125520116  E         11000.0   11050.0
126500060  E         11000.0   11040.0
121500104  E         11450.0   11700.0
